timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1735227836317,38,POST /booking/,201,,Admin makes a booking 1-35,text,true,,393,582,6,7,http://localhost:8080/booking/,37,0,0
1735227836695,3,GET /room/,200,,Admin makes a booking 1-38,text,true,,528,280,5,6,http://localhost:8080/room/,3,0,0
1735227836710,7,GET /room/,200,,Admin makes a booking 1-36,text,true,,528,280,5,6,http://localhost:8080/room/,7,0,0
1735227836699,27,GET /report/,200,,Admin makes a booking 1-38,text,true,,4608,282,5,6,http://localhost:8080/report/,27,0,0
1735227837741,6,GET /branding/,200,,Guest makes a booking 2-41,text,true,,785,252,2,8,http://localhost:8080/branding/,6,0,1
1735227837726,22,POST /auth/login,200,,Admin makes a booking 1-41,,true,,177,332,6,8,http://localhost:8080/auth/login,22,0,1
1735227837818,8,GET /report/room/1,200,,Guest makes a booking 2-40,text,true,,3810,256,2,8,http://localhost:8080/report/room/1,8,0,0
1735227837827,20,POST /booking/,409,,Guest makes a booking 2-40,text,false,,153,541,2,8,http://localhost:8080/booking/,20,0,0
1735227838249,4,GET /room/,200,,Admin makes a booking 1-39,text,true,,528,280,6,7,http://localhost:8080/room/,4,0,0
1735227838254,22,GET /report/,200,,Admin makes a booking 1-39,text,true,,4608,282,6,7,http://localhost:8080/report/,22,0,0
1735227839427,4,GET /room/,200,,Guest makes a booking 2-41,text,true,,528,248,1,7,http://localhost:8080/room/,4,0,0
